province_code,province_name,ward_code,ward_name,ward_type,full_address
96,Cà Mau,31988,An Trạch,Xã,"Xã An Trạch, Tỉnh Cà Mau"
96,Cà Mau,32002,An Xuyên,Phường,"Phường An Xuyên, Tỉnh Cà Mau"
96,Cà Mau,31825,Bạc Liêu,Phường,"Phường Bạc Liêu, Tỉnh Cà Mau"
96,Cà Mau,32069,Biển Bạch,Xã,"Xã Biển Bạch, Tỉnh Cà Mau"
96,Cà Mau,32212,Cái Đôi Vàm,Xã,"Xã Cái Đôi Vàm, Tỉnh Cà Mau"
96,Cà Mau,32128,Cái Nước,Xã,"Xã Cái Nước, Tỉnh Cà Mau"
96,Cà Mau,31894,Châu Thới,Xã,"Xã Châu Thới, Tỉnh Cà Mau"
96,Cà Mau,32104,Đá Bạc,Xã,"Xã Đá Bạc, Tỉnh Cà Mau"
96,Cà Mau,32152,Đầm Dơi,Xã,"Xã Đầm Dơi, Tỉnh Cà Mau"
96,Cà Mau,32201,Đất Mới,Xã,"Xã Đất Mới, Tỉnh Cà Mau"
96,Cà Mau,32248,Đất Mũi,Xã,"Xã Đất Mũi, Tỉnh Cà Mau"
96,Cà Mau,31993,Định Thành,Xã,"Xã Định Thành, Tỉnh Cà Mau"
96,Cà Mau,31975,Đông Hải,Xã,"Xã Đông Hải, Tỉnh Cà Mau"
96,Cà Mau,31972,Gành Hào,Xã,"Xã Gành Hào, Tỉnh Cà Mau"
96,Cà Mau,31942,Giá Rai,Phường,"Phường Giá Rai, Tỉnh Cà Mau"
96,Cà Mau,31840,Hiệp Thành,Phường,"Phường Hiệp Thành, Tỉnh Cà Mau"
96,Cà Mau,32092,Hồ Thị Kỷ,Xã,"Xã Hồ Thị Kỷ, Tỉnh Cà Mau"
96,Cà Mau,31891,Hòa Bình,Xã,"Xã Hòa Bình, Tỉnh Cà Mau"
96,Cà Mau,32041,Hòa Thành,Phường,"Phường Hòa Thành, Tỉnh Cà Mau"
96,Cà Mau,31843,Hồng Dân,Xã,"Xã Hồng Dân, Tỉnh Cà Mau"
96,Cà Mau,31906,Hưng Hội,Xã,"Xã Hưng Hội, Tỉnh Cà Mau"
96,Cà Mau,32140,Hưng Mỹ,Xã,"Xã Hưng Mỹ, Tỉnh Cà Mau"
96,Cà Mau,32059,Khánh An,Xã,"Xã Khánh An, Tỉnh Cà Mau"
96,Cà Mau,32110,Khánh Bình,Xã,"Xã Khánh Bình, Tỉnh Cà Mau"
96,Cà Mau,32119,Khánh Hưng,Xã,"Xã Khánh Hưng, Tỉnh Cà Mau"
96,Cà Mau,32062,Khánh Lâm,Xã,"Xã Khánh Lâm, Tỉnh Cà Mau"
96,Cà Mau,31951,Láng Tròn,Phường,"Phường Láng Tròn, Tỉnh Cà Mau"
96,Cà Mau,31985,Long Điền,Xã,"Xã Long Điền, Tỉnh Cà Mau"
96,Cà Mau,32134,Lương Thế Trân,Xã,"Xã Lương Thế Trân, Tỉnh Cà Mau"
96,Cà Mau,32014,Lý Văn Lâm,Phường,"Phường Lý Văn Lâm, Tỉnh Cà Mau"
96,Cà Mau,32191,Năm Căn,Xã,"Xã Năm Căn, Tỉnh Cà Mau"
96,Cà Mau,32044,Nguyễn Phích,Xã,"Xã Nguyễn Phích, Tỉnh Cà Mau"
96,Cà Mau,32227,Nguyễn Việt Khái,Xã,"Xã Nguyễn Việt Khái, Tỉnh Cà Mau"
96,Cà Mau,31849,Ninh Quới,Xã,"Xã Ninh Quới, Tỉnh Cà Mau"
96,Cà Mau,31864,Ninh Thạnh Lợi,Xã,"Xã Ninh Thạnh Lợi, Tỉnh Cà Mau"
96,Cà Mau,32244,Phan Ngọc Hiển,Xã,"Xã Phan Ngọc Hiển, Tỉnh Cà Mau"
96,Cà Mau,31885,Phong Hiệp,Xã,"Xã Phong Hiệp, Tỉnh Cà Mau"
96,Cà Mau,31957,Phong Thạnh,Xã,"Xã Phong Thạnh, Tỉnh Cà Mau"
96,Cà Mau,32214,Phú Mỹ,Xã,"Xã Phú Mỹ, Tỉnh Cà Mau"
96,Cà Mau,32218,Phú Tân,Xã,"Xã Phú Tân, Tỉnh Cà Mau"
